Group Type,Fairness Gap,Min Accuracy,Max Accuracy
Race,0.11821053455121555,0.4793504410585405,0.5975609756097561
Sex,0.0009510105664620738,0.4934510250569476,0.4944020356234097
Age,0.4878048780487805,0.24390243902439024,0.7317073170731707
